t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
83,1.0,0.0,1.8563956589394233,62.22222222222223,-50.0,-4.566116260882441,-1.5714285714285716,2.2202207220928862,-75.0,40.0,5.783687230890167
84,1.0,0.0,1.8563956589394233,62.22222222222223,-16.666666666666657,-4.566116260882441,-1.5714285714285716,2.2202207220928862,-75.0,80.0,5.783687230890167
85,1.0,0.0,1.8563956589394233,62.22222222222223,16.666666666666686,-4.566116260882441,-1.5714285714285716,2.2202207220928862,0.0,-80.0,5.783687230890167
86,1.0,0.0,1.8563956589394233,62.22222222222223,50.0,-4.566116260882441,-1.5714285714285716,2.2202207220928862,0.0,-40.0,5.783687230890167
87,1.0,0.0,1.8563956589394233,62.22222222222223,83.33333333333334,-4.566116260882441,-1.5714285714285716,2.2202207220928862,0.0,0.0,5.783687230890167
88,1.0,0.0,1.8563956589394233,62.22222222222223,116.66666666666669,-4.566116260882441,-1.5714285714285716,2.2202207220928862,0.0,40.0,5.783687230890167
89,1.0,0.0,1.8563956589394233,62.22222222222223,150.0,-4.566116260882441,-1.5714285714285716,2.2202207220928862,0.0,80.0,5.783687230890167
90,1.0,0.0,1.8563956589394233,80.0,-150.0,-4.566116260882441,-1.5714285714285716,2.2202207220928862,75.0,-80.0,5.783687230890167
91,1.0,0.0,1.8563956589394233,80.0,-116.66666666666666,-4.566116260882441,-1.5714285714285716,2.2202207220928862,75.0,-40.0,5.783687230890167
92,1.0,0.0,1.8563956589394233,80.0,-83.33333333333333,-4.566116260882441,-1.5714285714285716,2.2202207220928862,75.0,0.0,5.783687230890167
93,1.0,0.0,1.8563956589394233,80.0,-50.0,-4.566116260882441,-1.5714285714285716,2.2202207220928862,75.0,40.0,5.783687230890167
94,1.0,0.0,1.8563956589394233,80.0,-16.666666666666657,-4.566116260882441,-1.5714285714285716,2.2202207220928862,75.0,80.0,5.783687230890167
95,1.0,0.0,1.8563956589394233,80.0,16.666666666666686,-4.566116260882441,-1.5714285714285716,2.2202207220928862,150.0,-80.0,5.783687230890167
96,1.0,0.0,1.8563956589394233,80.0,50.0,-4.566116260882441,-1.5714285714285716,2.2202207220928862,150.0,-40.0,5.783687230890167
97,1.0,0.0,1.8563956589394233,80.0,83.33333333333334,-4.566116260882441,-1.5714285714285716,2.2202207220928862,150.0,0.0,5.783687230890167
98,1.0,0.0,1.8563956589394233,80.0,116.66666666666669,-4.566116260882441,-1.5714285714285716,2.2202207220928862,150.0,40.0,5.783687230890167
99,1.0,0.0,1.8563956589394233,80.0,150.0,-4.566116260882441,-1.5714285714285716,2.2202207220928862,150.0,80.0,5.783687230890167
100,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,-150.0,-5.433883739117557,-0.4285714285714288,2.0129495496439493,-150.0,-80.0,6.349544878150638
101,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,-116.66666666666666,-5.433883739117557,-0.4285714285714288,2.0129495496439493,-150.0,-40.0,6.349544878150638
102,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,-83.33333333333333,-5.433883739117557,-0.4285714285714288,2.0129495496439493,-150.0,0.0,6.349544878150638
103,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,-50.0,-5.433883739117557,-0.4285714285714288,2.0129495496439493,-150.0,40.0,6.349544878150638
104,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,-16.666666666666657,-5.433883739117557,-0.4285714285714288,2.0129495496439493,-150.0,80.0,6.349544878150638
105,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,16.666666666666686,-5.433883739117557,-0.4285714285714288,2.0129495496439493,-75.0,-80.0,6.349544878150638
106,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,50.0,-5.433883739117557,-0.4285714285714288,2.0129495496439493,-75.0,-40.0,6.349544878150638
