t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
99,1.0,0.0,1.8563956589394233,80.0,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
100,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
101,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
102,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
103,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
104,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
105,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
106,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
107,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
108,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
109,0.8412535328311812,0.5406408174555976,2.4275943232284765,-80.0,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
110,0.8412535328311812,0.5406408174555976,2.4275943232284765,-62.22222222222222,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
111,0.8412535328311812,0.5406408174555976,2.4275943232284765,-62.22222222222222,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
112,0.8412535328311812,0.5406408174555976,2.4275943232284765,-62.22222222222222,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
113,0.8412535328311812,0.5406408174555976,2.4275943232284765,-62.22222222222222,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
